,CT_Dim1,CT_Dim2,CT_Dim3,CT_Dim4,CT_Dim5,CogEffort_T1,CogEffort_T2,CogEffort_T3,MeaningLife_T2,MeaningLife_T3
CT_Dim1,1.0,0.6325013125227799,0.3891425781674024,0.2581431373302832,0.3629653296994881,-0.21372487467894993,-0.23352430703453916,-0.19100290362047098,-0.20044123772850264,-0.1831871257557531
CT_Dim2,0.6325013125227799,1.0,0.5077171671376247,0.20984404298914017,0.38041413664570695,-0.09948816615002685,-0.10756821025290474,-0.1159304858993928,-0.12044215447556467,-0.1506311378348108
CT_Dim3,0.3891425781674024,0.5077171671376247,1.0,0.11989870021843964,0.3215802691497845,-0.03883997574635518,-0.04889106526877244,-0.037800210068337226,-0.08377876774501357,-0.09530002270213257
CT_Dim4,0.2581431373302832,0.20984404298914017,0.11989870021843964,1.0,0.6914701281350246,-0.20194239294381602,-0.16728677443652645,-0.1640804034602364,-0.22622309815449995,-0.19736542065636845
CT_Dim5,0.3629653296994881,0.38041413664570695,0.3215802691497845,0.6914701281350246,1.0,-0.15692847657438427,-0.17897183231834302,-0.1589607516532867,-0.20598551384942212,-0.18433648296132346
CogEffort_T1,-0.21372487467894993,-0.09948816615002685,-0.03883997574635518,-0.20194239294381602,-0.15692847657438427,1.0,0.5697307488054298,0.49456517290873997,0.2657272609425527,0.2405096273696598
CogEffort_T2,-0.23352430703453916,-0.10756821025290474,-0.04889106526877244,-0.16728677443652645,-0.17897183231834302,0.5697307488054298,1.0,0.575921768795805,0.395166850953064,0.29618044252273135
CogEffort_T3,-0.19100290362047098,-0.1159304858993928,-0.037800210068337226,-0.1640804034602364,-0.1589607516532867,0.49456517290873997,0.575921768795805,1.0,0.30680208465219005,0.3986393801671228
MeaningLife_T2,-0.20044123772850264,-0.12044215447556467,-0.08377876774501357,-0.22622309815449995,-0.20598551384942212,0.2657272609425527,0.395166850953064,0.30680208465219005,1.0,0.3847994041855249
MeaningLife_T3,-0.1831871257557531,-0.1506311378348108,-0.09530002270213257,-0.19736542065636845,-0.18433648296132346,0.2405096273696598,0.29618044252273135,0.3986393801671228,0.3847994041855249,1.0
