,count,mean,std,min,25%,50%,75%,max,missing
CT_Dim1,1416.0,1.667831920903955,0.7332474088206336,1.0,1.0,1.4,2.0,5.0,0
CT_Dim2,1416.0,1.3706214689265537,0.628266926407806,1.0,1.0,1.0,1.6,5.0,0
CT_Dim3,1416.0,1.2129237288135593,0.49066803511168505,1.0,1.0,1.0,1.2,5.0,0
CT_Dim4,1416.0,2.43965395480226,1.1692499877606761,1.0,1.4,2.2,3.4,5.0,0
CT_Dim5,1416.0,1.7387005649717515,0.6821366395971944,1.0,1.0,1.8,2.2,4.4,0
CogEffort_T1,1416.0,75.3792372881356,16.069622145037844,17.0,65.0,75.0,86.0,119.0,0
CogEffort_T2,1416.0,72.12217514124293,16.359949884165705,17.0,65.0,70.0,80.0,119.0,0
CogEffort_T3,1416.0,71.07838983050847,14.899671510331,17.0,65.0,69.0,77.0,119.0,0
MeaningLife_T2,1416.0,4.1893324503494,1.2084185691350697,1.0,3.6666666666666665,4.133333333333334,4.866666666666666,7.0,0
MeaningLife_T3,1416.0,4.27148186088864,1.2693040795222297,1.0,3.8,4.133333333333334,5.0,7.0,0
